name,industry,type,founded,num_employees,revenue,operating_income,net_income,stock price,student_careers_url,pagerank
Enli Health Intelligence,Software,Private,-1,125,25000000,-1,-1,-1.00,https://www.enli.net/,-1.0
Enologix,,privately held,1989,-1,-1,-1,-1,-1.00,,-1.0
"Enplug, Inc.",Software,Private,-1,-1,-1,-1,-1,-1.00,https://www.enplug.com/,5.48
Entagen,,,-1,-1,-1,-1,-1,-1.00,,-1.0
Entellium,On-demand software,Private (defunct),-1,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
Enterasys Networks,Computer network,,-1,-1,-1,-1,-1,-1.00,https://www.extremenetworks.com/company/careers/,-1.0
EnterpriseAlumni Inc.,Computer software,Privately held company,-1,42,-1,-1,-1,-1.00,https://enterprisealumni.com/careers/,-1.0
EnterpriseDB Corporation,"Software,database",Private,-1,-1,-1,-1,-1,-1.00,https://www.enterprisedb.com/,-1.0
Divide (previously Enterproid),Enterprise mobility management,,-1,-1,-1,-1,-1,-1.00,https://careers.enterprise.com/internships,-1.0
Enthought,Computer software,,2001,-1,-1,-1,-1,-1.00,https://www.enthought.com/careers/,5.67
"Entrust, Inc.",Online information and identity protection,Private,-1,350,-1,-1,-1,-1.00,https://www.entrust.com/careers,-1.0
"Envivio, Inc.",Video software,Public,-1,500,50600000,-1,-1,110.34,,-1.0
Epic Systems Corporation,"Information Technology,Health Informatics",Private,-1,10000,2900000000,-1,-1,-1.00,https://careers.epic.com/,-1.0
Epicor,Computer software,Private,-1,4100,900000000,-1,-1,-1.00,https://jobs.epicor.com/,-1.0
"Epiphany, Inc.",Computer software,Public,-1,-1,71500000,-1,-1,110.34,http://www.epiphanyinc.net/company/careers,-1.0
Equitrac Corporation,document output management and cost recovery,Subsidiary,-1,-1,-1,-1,-1,-1.00,https://www.nuance.com/about-us/careers.html,-1.0
"Ericom Software, Inc.","Software,Information Technology",Private,-1,-1,-1,-1,-1,-1.00,https://www.ericom.com/careers.asp,-1.0
Esri,"Software,Geographic information system,Geographic Information Systems",Private,1969,3800,-1,-1,-1,-1.00,https://www.esri.com/en-us/about/careers/student-jobs,-1.0
"Evergage, Inc.","Software as a Service,Web optimization,Website Optimization",,-1,-1,-1,-1,-1,-1.00,https://www.salesforce.com/company/careers/,-1.0
Excite,,Portal,-1,-1,-1,-1,-1,-1.00,https://www.ucclermont.edu/careers,-1.0
Exela Technologies,"Software,information technology",Public,-1,22000,-1,-1,-1,0.41,https://www.exelatech.com/careers,-1.0
Expensify,"Expense management,software",,-1,-1,-1,-1,-1,-1.00,https://we.are.expensify.com/,6.19
"Express Metrix, LLC",IT asset management software,Privately held,-1,-1,-1,-1,-1,-1.00,https://www.express.com/g/careers,-1.0
OpenText Exstream,Document Management,,1998,-1,-1,-1,-1,-1.00,https://www.e-xstream.com/about-us/about-e-xstream/careers,-1.0
Eze Castle Integration,IT infrastructure and services,Private,-1,700,-1,-1,-1,-1.00,https://www.eci.com/about-us/careers/,5.23
"F5, Inc.",Technology,Public,-1,5325,2161407000,590899000,453689000,110.34,https://www.f5.com/company/careers,-1.0
Fair Isaac Corporation,Computer,Public,-1,3358,932170000,177200000,-1,444.60,https://www.fico.com/en/careers,6.04
"Fidelity National Information Services, Inc.",Financial Sector,Public,-1,55000,12200000000,-1,825000000,132.59,https://www.fisglobal.com/en/careers,-1.0
"Facebook, Inc.","Social media,Advertising",Public,2004,52534,70697000000,23986000000,18485000000,110.34,https://www.facebook.com/careers/,7.78
"FacilitySource, Inc.","Facility management,Subsidiary",Private,-1,595,-1,-1,-1,-1.00,https://facilitysource.com/employment-opportunities/,4.37
Falafel Software Inc.,Computer software,Private,-1,19,-1,-1,-1,-1.00,,-1.0
FalconStor Software,"software,Computer software",Public,-1,-1,-1,-1,-1,16.09,https://www.falconstor.com/careers/,-1.0
FastSpring,SaaS,Private,-1,-1,-1,-1,-1,-1.00,https://fastspring.com/company/careers/,-1.0
"Fastly, Inc.",Internet,,-1,700,-1,-1,-1,-1.00,https://www.fastly.com/about/careers,-1.0
FatKat,,Private,-1,-1,-1,-1,-1,-1.00,https://www.fatkatspizzeria.com/careers,-1.0
FellowshipOne,Church software,Privately held,-1,-1,-1,-1,-1,-1.00,https://www.fellowshipone.com/careers/,-1.0
Fetch Softworks,software,,1989,-1,-1,-1,-1,-1.00,https://fetchsoftworks.com/,-1.0
"SAP Fieldglass, Inc.",Software,Subsidiary,-1,1000,-1,-1,-1,-1.00,https://www.fieldglass.com/company/careers,-1.0
"Figaro Systems, Inc.",,Private,-1,-1,-1,-1,-1,-1.00,https://career.asu.edu/5-benefits-developing-your-linkedin-profile,-1.0
"Figure 53, LLC",Live entertainment Software Theatre,,2006,-1,-1,-1,-1,-1.00,https://figure53.com/,5.57
FinalCode,Computer Software,Private,2014,-1,-1,-1,-1,-1.00,https://www.dhs.gov/homeland-security-careers/students,4.61
"Financial Navigator, Inc",Computer software,Private,-1,0,-1,-1,-1,-1.00,"https://www.glassdoor.com/Job/financial-navigator-jobs-SRCH_KO0,19.htm",-1.0
FinancialForce,Computer Software,Private company,-1,750,-1,-1,-1,-1.00,https://www.financialforce.com/about/careers/,-1.0
Firebase,,,-1,-1,-1,-1,-1,-1.00,,-1.0
Firehole Composites,Composite Materials Analysis & Simulation,Private,-1,-1,-1,-1,-1,-1.00,https://en.wikipedia.org/wiki/Firehole_Composites,-1.0
"FiscalNote, Inc.","Software as a service,information services,technology",Private,-1,475,-1,-1,-1,-1.00,https://careers.fiscalnote.com/positions/,5.53
Fishbowl Inventory,Software,Private,-1,150,-1,-1,-1,-1.00,https://www.fishbowlinventory.com/about/careers/,-1.0
"Fixstars Solutions, Inc.","Operating system,s Services Software",Private,2008,-1,-1,-1,-1,-1.00,https://angel.co/company/fixstars-solutions/jobs,5.45
FlexGen Power Systems,,,-1,-1,-1,-1,-1,-1.00,https://www.glassdoor.com/Salary/FlexGen-Power-Systems-Salaries-E1396943.htm,-1.0
FlexSim,,,-1,-1,-1,-1,-1,-1.00,https://www.flexsim.com/students/,4.6
Flexera,,Investment company,1988,-1,-1,-1,-1,-1.00,https://www.flexera.com/about-us/careers.html,-1.0
FloQast,Software,Private,2013,151,-1,-1,-1,-1.00,https://floqast.com/company/careers/,5.31
flok,"Mobile computing,Mobile,Mobile app,Chatbots",Subsidiary,-1,-1,-1,-1,-1,-1.00,https://careers.flock.com/,-1.0
"Flow Science, Inc.",Computational Fluid Dynamics Software,Private,-1,-1,-1,-1,-1,-1.00,https://flowscience.com/careers/,-1.0
Folio Corporation,"Family history,Genealogy",Private,-1,-1,-1,-1,-1,-1.00,https://www.appfolioinc.com/careers,-1.0
"Food Service Solutions, Inc.",Software,Private,-1,-1,-1,-1,-1,-1.00,https://www.usfoods.com/careers.html,-1.0
"Forterra Systems, Inc.",software,,1998,-1,-1,-1,-1,-1.00,https://careers.epic.com/,-1.0
Fortify,Computer software,Software Vendor,-1,-1,-1,-1,-1,-1.00,https://www.indeed.com/q-Fortify-Software-Security-jobs.html,-1.0
"Fortinet, Inc.","Network security,computer security",Public,-1,6015,2160000000,109804000,31399000,119.51,https://www.fortinet.com/corporate/careers,-1.0
Fort̩ Internet Software,,,-1,-1,-1,-1,-1,-1.00,,-1.0
"FreeWave Technologies, Inc.",wireless RF Communications M2M IoT automation,Private,-1,0,-1,-1,-1,-1.00,https://www.freewave.com/about/careers/,-1.0
Freefly Systems,Unmanned Aircraft Systems,,-1,70,-1,-1,-1,-1.00,https://freeflysystems.com/careers,-1.0
Fungible Inc.,Data Center Technology,Privately held company,2015,200,-1,-1,-1,-1.00,https://www.fungible.com/careers/,5.5
"G2 Crowd, Inc.","Internet,Research,Business-to-business,Software as a service,SaaS",Private company,-1,360,-1,-1,-1,-1.00,https://culture.g2.com/careers,-1.0
GE Automation & Controls,Industrial Automation and Controls,Private,-1,-1,-1,-1,-1,-1.00,https://jobs.gecareers.com/global/en,-1.0
Global a Go-Go,,Album,-1,-1,-1,-1,-1,-1.00,http://www.goinglobal.com/,-1.0
"GSE Systems, Inc.","Process control,Process Controls,Operator Training Simulator,Educational software,Educational Software",Public,-1,450,-1,-1,-1,1.03,https://www.gses.com/contact-us/gse-careers/,-1.0
Infor Nexus,"Supply-chain management,Trade Automation Software,Global trade automation,Enterprise software",Private,-1,-1,-1,-1,-1,-1.00,https://www.infor.com/about/careers,-1.0
GTECH Corp.,"Lottery,Lotteries,Online gambling",Subsidiary,-1,-1,-1,-1,-1,-1.00,https://career.gatech.edu/,-1.0
OpenText GXS,B2B e-Commerce,Subsidiary,-1,3000,480000000,-1,-1,-1.00,https://careers.opentext.com/,-1.0
Gadget Flow Inc,"Online Retail,Internet Marketing",C Corp,2012,-1,-1,-1,-1,-1.00,https://thegadgetflow.com/apply/,7.1
"ecoATM, LLC",eCommerce,Private,-1,-1,-1,-1,-1,-1.00,https://www.abbott.com/careers/students.html,-1.0
"Geeknet, Inc.","Online media,Retail",Subsidiary,-1,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
"GenArts, Inc.",Software,Private,-1,-1,-1,-1,-1,-1.00,https://borisfx.com/company/careers/,-1.0
"General Software, Inc.",Computer software,,1989,-1,-1,-1,-1,-1.00,https://www.computerscience.org/careers/software-engineer/,-1.0
Genesys,Customer experience,Private,-1,5935,2000000000,-1,-1,-1.00,https://www.genesys.com/company/careers,6.0
"Genuitec, LLC",Computer software,Private,-1,50,-1,-1,-1,-1.00,https://www.genuitec.com/company/careers/,-1.0
GestureTek,,,1986,-1,-1,-1,-1,-1.00,,5.32
GhostTunes,Music,Private,2014,-1,-1,-1,-1,-1.00,https://www.amazon.jobs/en/business_categories/student-programs,-1.0
Gigmax,"data backup,Data Backup,Data Synchronization,File hosting service",,-1,-1,-1,-1,-1,-1.00,,-1.0
"Gigya, Inc.","Identity management,Customer identity management",Subsidiary,-1,280,-1,-1,-1,-1.00,https://www.sap.com/about/careers.html,-1.0
Glitch,Software,Private,-1,32,-1,-1,-1,-1.00,https://glitch.com/about,-1.0
Globalscape,"Managed File Transfer,Information Security,Network Management,SSH File Transfer Protocol,Secure File Transfer",Public,-1,-1,-1,-1,-1,-1.00,https://www.globalscape.com/careers,-1.0
GlobeXplorer,"Websites,Aerial Photography,Geographic information system,Geographic Information Systems",,-1,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
"Glooko, Inc",Software,Private,-1,-1,-1,-1,-1,-1.00,https://www.glooko.com/careers/,-1.0
"Gluster, Inc.","Software,computer storage",Privately funded,-1,60,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
GoGuardian,Education Technology,,-1,-1,-1,-1,-1,-1.00,https://www.goguardian.com/careers/,5.57
Golden Software LLC,Scientific Software,Private company,-1,-1,-1,-1,-1,-1.00,https://www.goldensoftware.com/about/join-our-team,-1.0
GoldenSource Corporation,"Enterprise Data Management,Financial Services",Private company,-1,350,-1,-1,-1,-1.00,https://www.thegoldensource.com/company/careers/,5.0
Good Technology,Software,Subsidiary,1996,-1,-1,-1,-1,-1.00,https://www.bestcolleges.com/careers/technology/,5.51
GoodData,Computer software,Private ,-1,291,-1,-1,-1,-1.00,https://www.gooddata.com/company/careers,-1.0
GotoBus,"Travel,Technology",Private,-1,25,-1,-1,-1,-1.00,https://www.gotobus.com/aboutus/employment/,5.76
"GovBizConnect, Inc.",Software,Private,2015,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,3.7
Goverlan Reach Remote Support Software,,,-1,-1,-1,-1,-1,-1.00,https://www.goverlan.com/jobs,4.7
"GrabCAD, Inc.",Mechanical Engineering,Public,-1,81,-1,-1,-1,110.34,https://resources.grabcad.com/jobs/,-1.0
Graham Magnetics,Magnetic tape,Subsidiary,-1,-1,-1,-1,-1,-1.00,http://grahammagnetics.com/,-1.0
"GrammaTech, Inc.",Software Quality,Private,-1,-1,-1,-1,-1,-1.00,https://www.grammatech.com/careers,-1.0
GraphPad Prism,,,-1,-1,-1,-1,-1,-1.00,https://www.graphpad.com/how-to-buy/student/,-1.0
Graphiq,,,-1,-1,-1,-1,-1,-1.00,https://www.learnhowtobecome.org/graphic-designer/,-1.0
Graylog,"Enterprise software,Opensource software",Private,-1,11,-1,-1,-1,-1.00,https://www.graylog.org/careers,-1.0
Green Hills Software Inc.,"Embedded system,software tools",Private,1982,-1,-1,-1,-1,-1.00,https://www.ghs.com/jobs_usa.html,5.52
GreenBytes,"Computer Software,IT Services",Private,-1,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
"Greenhouse Software, Inc.",,,2012,-1,-1,-1,-1,-1.00,https://www.greenhouse.io/careers,5.9
"GridApp Systems, Inc.",Computer software,Private,-1,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
GridPoint,,,-1,-1,-1,-1,-1,-1.00,https://www.gridpoint.com/careers/,-1.0
GroupLogic,Computer Software,Private,-1,40,-1,-1,-1,-1.00,,-1.0
Groxis,"software,technology",,2001,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
"Guidance Software, Inc.",Digital Forensics E-Discovery,Subsidiary,-1,371,91900000,-1,-1,-1.00,https://www.govtech.com/magazines/gt/Technology-Tools-Navigate-Students-Toward-Careers.html,-1.0
"Guidance Solutions, Inc.","Information technology,Internet Services",Private,-1,-1,-1,-1,-1,-1.00,https://medium.com/@ravikumarnama/best-free-career-guidance-websites-for-students-39ccf9f3ac8c,-1.0
"Guidewire Software, Inc.",P&C Insurance Software,Public,-1,-1,-1,-1,-1,104.53,https://careers.guidewire.com/students-graduates,-1.0
Gupshup,Software,Private company,-1,-1,-1,-1,-1,-1.00,https://www.gupshupnyc.com/jobs/,5.47
Gupta Technologies,software,,1984,-1,-1,-1,-1,-1.00,https://dornsife.usc.edu/careerpathways/gupta-internship-fund/,-1.0
Gusto,,,2011,-1,-1,-1,-1,-1.00,https://gusto.com/about/careers,5.9
"hCentive, Inc.",Software development,Private,-1,500,-1,-1,-1,-1.00,https://www.zippia.com/hcentive-careers-1398267/,-1.0
Micro Focus Enterprise Security,"Security software,Enterprise Software",,-1,-1,-1,-1,-1,-1.00,https://www.hpe.com/us/en/about/jobs/students.html,6.15
HP Inc.,"Computer hardware,printer,printers",Public,2015,56000,58330000000,3800000000,3150000000,19.13,https://jobs.hp.com/en-us/Students-Graduates?prefilters=(%20ShortTextField2%20%3D%20%22Internship%22%20OR%20%20ShortTextField2%20%3D%20%22Graduate%22%20OR%20%20ShortTextField2%20%3D%20%22Apprenticeship%22%20%20)%20,6.71
"Halcyon Monitoring Solutions, Inc.","Enterprise Software,IT Services",Private,-1,-1,-1,-1,-1,-1.00,https://www.helpsystems.com/product-lines/halcyon,-1.0
Handmark,Mobile Applications,Private,-1,100,-1,-1,-1,-1.00,https://www.lockheedmartinjobs.com/college-students,-1.0
Harman Connected Services,"Telecommunication,Telecom,Outsourcing",Subsidiary,2001,30000,-1,-1,-1,-1.00,https://jobs.harman.com/,5.91
"HashiCorp, Inc.",,Private,2012,1000,-1,-1,-1,-1.00,https://www.hashicorp.com/jobs,-1.0
Helion Energy Inc.,Nuclear fusion,Private,-1,-1,-1,-1,-1,-1.00,https://www.helionenergy.com/careers/,5.44
"Helix Software Company, Inc.",Software,Private company,-1,-1,-1,-1,-1,-1.00,https://helixre.com/careers/,-1.0
HelloSociety,Marketing Communications,,-1,-1,-1,-1,-1,-1.00,https://hellosociety.com/,-1.0
HelloWallet,"Software,Personal finance",Private,-1,60,-1,-1,-1,-1.00,https://www.bnymellon.com/us/en/careers/students.html,-1.0
Help Scout,"Software,SaaS",Private,2011,100,-1,-1,-1,-1.00,https://www.helpscout.com/company/careers/,5.74
"HelpSystems, LLC",,Private,-1,955,-1,-1,-1,-1.00,https://www.helpsystems.com/about/careers,-1.0
Hewlett Packard Enterprise Company,"Financial technology,Computer hardware,Computer software,Cloud computing,Internet of Things,Artificial intelligence,Computer networking",Public,2015,61600,28900000000,2240000000,1050000000,9.28,https://www.hpe.com/us/en/about/jobs/students.html,6.37
Hexnode,"Enterprise mobility management,software",,-1,-1,-1,-1,-1,-1.00,https://www.hexnode.com/mobile-device-management/,-1.0
High Fidelity,,Private,-1,-1,-1,-1,-1,-1.00,https://jobs.fidelity.com/page/show/students,-1.0
HyperACCESS,,,-1,-1,-1,-1,-1,-1.00,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,4.98
Hillcrest Labs,technology,,2001,-1,-1,-1,-1,-1.00,https://hillcrestlabs.com/,5.38
Hitachi Data Systems,"Computer data storage,systems,software,Computer systems,Computer hardware,Computer software,IT consulting,IT services",A wholly owned subsidiary of ,-1,6300,-1,-1,-1,-1.00,https://www.hitachivantara.com/en-us/company/careers.html,-1.0
"HoloBuilder, Inc.",Construction Technology,Construction,-1,-1,-1,-1,-1,-1.00,https://angel.co/company/holobuilder/jobs,-1.0
"Holosofx, Inc.",,Privately held company ('''Acquired by ,-1,45,-1,-1,-1,-1.00,,-1.0
"Honestech, Inc",Software,,-1,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
Honeywell Intelligrated,"Material Handling,Logistics Management",Public,-1,-1,-1,-1,-1,-1.00,https://careers.honeywell.com/us/en,-1.0
Hoopla Software,Software as a service,Private Company,2010,35,-1,-1,-1,-1.00,https://www.hoopla.net/careers/,-1.0
"Hortonworks, Inc.","Software,Computer software",Subsidiary,-1,1110,-1,-1,-1,-1.00,https://www.cloudera.com/careers/teams/university-recruiting.html,-1.0
"Hottrix, LLC",Computer software,Domestic ,-1,-1,-1,-1,-1,-1.00,,-1.0
"HubSpot, Inc.",Software,Public,-1,3387,674900000,40100000,63830000,336.21,https://www.hubspot.com/careers/students,-1.0
Hubstaff,Corporate transparency,,2012,-1,-1,-1,-1,-1.00,https://hubstaff.com/jobs,5.82
Humanyze,Internet Software Computer Hardware,C corporation,2010,-1,-1,-1,-1,-1.00,https://www.humanyze.com/careers/,5.48
"Hyland Software, Inc.","Computer software,document management",Private,-1,3500,-1,-1,-1,-1.00,https://www.hyland.com/en/careers,-1.0
Hyperloop Transportation Technologies,"High-speed transport,Crowdsourcing",Private,-1,800,-1,-1,-1,-1.00,https://virginhyperloop.com/careers,-1.0
I-Logix Inc.,Software,,-1,133,-1,-1,-1,-1.00,https://www.logixbanking.com/careers/,-1.0
"i.TV, LLC",,Second screen,-1,-1,-1,-1,-1,-1.00,https://www.itvjobs.com/,-1.0
"I/Gear, Inc.",,Private,-1,-1,-1,-1,-1,-1.00,https://www.indeed.com/cmp/Gear-Up,-1.0
International Business Machines Corporation,"Cloud computing,Artificial intelligence,Computer hardware,Computer software",Public,1911,352600,77140000000,13210000000,9430000000,114.77,https://www.ibm.com/us-en/employment/entrylevel/,8.11
IBM Cloud Object Storage,"object storage,cloud storage",,-1,-1,-1,-1,-1,-1.00,https://www.ibm.com/cloud/object-storage,8.11
"Imaging Business Machines, LLC",Computer software,private,-1,-1,-1,-1,-1,-1.00,https://www.ibm.com/employment/internationalstudents/,-1.0
"iCIMS, Inc.",Software,Private,-1,1000,-1,-1,-1,-1.00,https://careers.icims.com/,-1.0
iDroid USA,Smart Phones & Tablets,,2014,-1,-1,-1,-1,-1.00,,3.8
IGG Software Inc.,Computer software,,-1,9,-1,-1,-1,-1.00,https://www.iggsoftware.com/about.php,-1.0
iModerate,Research Technologies,,-1,-1,-1,-1,-1,-1.00,https://www.imoderate.com/,-1.0
ION Geophysical Corporation,Petroleum,Public,-1,500,-1,-1,-1,1.50,https://www.iongeo.com/careers/,-1.0
IQMS,"Software,Computer Software",Private,1989,312,53500000,-1,-1,-1.00,https://www.iqms.com/company/careers/software-dev-intern,4.9
iRise,software,,1996,-1,-1,-1,-1,-1.00,https://www.iris.edu/hq/employment,-1.0
ITA Software LLC,"Software,Travel",Subsidiary,-1,450,-1,-1,-1,-1.00,https://www.zippia.com/ita-software-careers-513200/,-1.0
ITerating,Software,,-1,-1,-1,-1,-1,-1.00,https://resources.depaul.edu/career-center/Pages/default.aspx,-1.0
iViZ Techno Solutions Pvt. Ltd.,"Information technology,Software,Data security,Information Security",Corporation,-1,-1,-1,-1,-1,-1.00,https://www.dhs.gov/homeland-security-careers/students,-1.0
IZotope,"Software industry,Semiconductor intellectual property core,SIP licensing",,-1,-1,-1,-1,-1,-1.00,https://www.izotope.com/en/company/education/partners.html,-1.0
"IceWarp, Inc.","Computer,Computer software,Information Technology,Communication,Security,Email",Private,-1,-1,-1,-1,-1,-1.00,https://www.icewarp.com/segments/education/,-1.0
IdeaScale,"Innovation Management,Software",Private,-1,-1,-1,-1,-1,-1.00,https://ideascale.com/ideascale-careers/,-1.0
"Idera, Inc.",software,,2000,-1,-1,-1,-1,-1.00,https://www.ideracorp.com/careers,-1.0
Ignify,software,,1999,-1,-1,-1,-1,-1.00,https://www.purdue.edu/studentemployment/,-1.0
Ilesfay Technology Group,Enterprise Software,Private,-1,-1,-1,-1,-1,-1.00,https://gust.com/companies/ilesfay,-1.0
ImageSource Inc.,"Enterprise Content Management,Document Imaging,Document Management,Content Management",,-1,-1,-1,-1,-1,-1.00,https://imagesourceinc.com/career/,-1.0
Impelsys,Electronic publishing,Private,2001,-1,-1,-1,-1,-1.00,https://www.impelsys.com/careers/,-1.0
Imperva Inc.,IT security,Private,-1,1000,-1,-1,-1,-1.00,https://www.imperva.com/company/careers/,-1.0
"Impinj, Inc.",RFID,Public,-1,208,-1,-1,-1,29.11,https://www.impinj.com/careers,-1.0
Imply,"Software,Computer software",,-1,-1,-1,-1,-1,-1.00,https://imply.io/careers,-1.0
inFORM Decisions,software,,1994,-1,-1,-1,-1,-1.00,https://www.k-state.edu/counseling/topics/career/career.html,-1.0
InMarket,AdTech,Private,-1,100,-1,-1,-1,-1.00,https://inmarket.com/careers/,-1.0
inXitu,X-ray instrumentation,Private,2007,-1,-1,-1,-1,-1.00,,-1.0
Inbenta,"Natural language processing,artificial intelligence,Internet,information technology",AI Chatbots,-1,-1,-1,-1,-1,-1.00,https://www.inbenta.com/en/about-us/careers/,-1.0
Incomit,telecommunications software,,2000,-1,-1,-1,-1,-1.00,https://thewomensfoundation.org/2010/low-income-students-and-career-choice/,-1.0
Lockheed Martin Corporation,"Technology,Advanced Technologies,Information Security,Aerospace manufacturer,Aerospace,Defense,Defense",Public,-1,110000,59810000000,8369999999,6230000000,364.70,https://www.industrialdefender.com/careers/,-1.0
Inedo,"Information Technology,Computer software",LLC,-1,-1,-1,-1,-1,-1.00,https://inedo.com/company/career-culture,-1.0
InetSoft Technology Corporation,Business intelligence tools,Privately Owned,1996,-1,-1,-1,-1,-1.00,https://www.inetsoft.com/company/careers/,4.95
"InfiniDB, Inc.","Enterprise software,Database management,Data warehousing",,-1,-1,-1,-1,-1,-1.00,,-1.0
Infinidat,Data storage,Private,-1,-1,-1,-1,-1,-1.00,https://hiring.infinidat.com/,5.28
InfoSec Institute,,,1998,-1,-1,-1,-1,-1.00,https://www.infosecinstitute.com/career-profiles/,-1.0
"Infogix, Inc.",Information Technology,Private Equity,-1,455,-1,-1,-1,-1.00,https://www.infogix.com/careers/,-1.0
Infor,Enterprise software,Private,2002,17000,2800000000,-1,-1,-1.00,https://www.infor.com/about/careers,-1.0
Informatica,"Software,Software industry",Private,1993,4800,1050000000,-1,114000000,-1.00,https://informatica.gr8people.com/,-1.0
Information Builders (ibi),"Software,Consultant,consulting",Private,-1,1400,315000000,-1,-1,-1.00,https://www.ibi.com/careers/,-1.0
Ingram Micro Inc.,Information Technology,Private,-1,33000,50800000000,-1,215000000,-1.00,https://careers.ingrammicro.com/en/,-1.0
Inkling,Software,,-1,-1,-1,-1,-1,-1.00,https://www.inkling.com/careers/,-1.0
"Inner Four, Inc.",Computer software,Corporation,-1,-1,-1,-1,-1,-1.00,https://careers.insidehighered.com/,-1.0
"IRI, The CoSort Company","Data processing,Sorting,Data integration,Test data,Data masking,Data conversion",Private,-1,-1,-1,-1,-1,-1.00,https://www.internationalstudent.com/jobsearch/,-1.0
Inovalon,Technology,Public,-1,2500,-1,-1,-1,20.08,https://www.inovalon.com/careers/,-1.0
Inphi Corporation,Semiconductors,Public,2000,685,365000000,-1,-1,147.96,https://www.inphi.com/careers/,4.94
Insight Enterprises,,Public,-1,11000,6700000000,-1,-1,64.90,https://www.insight.com/en_US/careers.html,-1.0
Insight Technology,Arms industry,,-1,-1,-1,-1,-1,-1.00,https://www.insight.com/en_US/careers.html,-1.0
Insilico Medicine,Biotechnology,Private,-1,-1,-1,-1,-1,-1.00,,-1.0
Instabase,Software,Private,-1,-1,-1,-1,-1,-1.00,https://about.instabase.com/careers/,-1.0
"Instructure, Inc.",Educational Technology,Subsidiary,-1,1291,209500000,-1,-1,-1.00,https://www.instructure.com/about/careers,-1.0
Intego,"Computer software,Security software",Privately held company,-1,-1,-1,-1,-1,-1.00,https://www.intego.com/company/careers,-1.0
"Integrated Computer Solutions, Inc.",Computer software,Private,-1,-1,-1,-1,-1,-1.00,https://icsinc.com/careers/,-1.0
"Integration Point, Inc.","Global Trade Management,Supply Chain Management",Private,-1,-1,-1,-1,-1,-1.00,https://www.thomsonreuters.com/en/careers.html,5.4
Intel Corporation,"Semiconductor industry,Semiconductors",Public,1968,110800,71900000000,22000000000,-1,45.68,https://jobs.intel.com/,6.83
Intelisys,technology,,1994,-1,-1,-1,-1,-1.00,https://intelisys.com/about/careers/,-1.0
IntelliCorp,Software,,1980,-1,-1,-1,-1,-1.00,https://jobs.intel.com/,-1.0
IntelliScanner Corporation,"Software,Software publishing",Corporation,-1,-1,-1,-1,-1,-1.00,https://jobs.intel.com/,-1.0
IntelliTrack,Software,,1989,-1,-1,-1,-1,-1.00,https://www.intellitrak.com/contact-us/employment/,3.88
Intentional Software,Software engineering,,2002,50,-1,-1,-1,-1.00,https://www.glassdoor.com/Interview/What-does-Intentional-Software-do-QTN_1922373.htm,4.7
InterCall,"Telecommunication,s and,Web conferencing",Subsidiary,-1,4000,-1,-1,-1,-1.00,http://www.intercallapac.com/about-us/careers-test.php,-1.0
InterSystems,software,Private,-1,-1,-1,-1,-1,-1.00,https://www.intersystems.com/who-we-are/careers/,-1.0
"Intercom, Inc.",Enterprise software,Private company,-1,630,-1,-1,-1,-1.00,https://www.intercom.com/careers,-1.0
Intergraph Corporation,"Software,Geographic Information Systems",Subsidiary,-1,4000,808400000,-1,-1,-1.00,http://www.intergraph.com/global/eu/careers/default.aspx,-1.0
"Interlink Computer Sciences, Inc.",,Network software,-1,-1,-1,-1,-1,-1.00,https://www.theladders.com/company/interlink-jobs,-1.0
International Computer Science Institute,,,-1,-1,-1,-1,-1,-1.00,http://www.csinow.edu/join-the-team/,-1.0
Internet Systems Consortium,,Network Engineering,-1,35,-1,-1,-1,-1.00,https://www.isc.org/careers/,-1.0
"IntervalZero, Inc.",Computer software,Private,-1,-1,-1,-1,-1,-1.00,https://www.internships.com/posting/sam_3491824993,-1.0
Intetics,"Information technology outsourcing,IT Outsourcing Services",Private,-1,-1,-1,-1,-1,-1.00,https://intetics.com/careers,5.43
Intuit Inc.,Enterprise software,Public,-1,9400,6784000000,1854000000,1557000000,350.96,https://www.intuit.com/careers/programs/students-and-grads/,-1.0
Invite Media,Advertising,Subsidiary of ,-1,-1,-1,-1,-1,-1.00,http://www.invitemedia.com/careers/open_positions.html,-1.0
Inxight Software,computer software,part of SAP AG,-1,100,14600000,-1,-1,-1.00,https://www.burning-glass.com/products/career-insight/,-1.0
IonQ,Quantum computing,Private,-1,-1,-1,-1,-1,-1.00,https://iona.studentemployment.ngwebsolutions.com/cmx_content.aspx?cpid=10,-1.0
"Ipswitch, Inc.","Application and network monitoring Information security,Managed file transfer",Private,-1,300,-1,-1,-1,-1.00,https://www.ipswitch.com/,-1.0
