name,type,industry,revenue,hq_location,num_employees,founded,website,student_careers_url,index_name,stock_symbol,stock price
Conversica,,,-1,,250,-1,,https://www.conversica.com/careers/,Conversica,NA,-1.0
Conversocial,Private,Software,-1,,-1,2009,,https://www.conversocial.com/about/careers,Conversocial,NA,-1.0
Convoy,,Trucking software,-1,,-1,-1,https://convoy.com,https://convoy.com/convoy-careers/,Convoy (company),NA,-1.0
Cooliris,,,-1,,-1,-1,www.cooliris.com,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,Cooliris,NA,-1.0
"Coradiant, Inc.",Private,,-1,,-1,-1,,https://www.mckinsey.com/careers/students,Coradiant,NA,-1.0
"Core International, Inc",Private,"Computer hardware,Computer software",-1,,-1,-1,,https://www.internationalstudent.com/jobsearch/,Core International,NA,-1.0
Corona Labs,,,-1,,-1,-1,[http://www.CoronaLabs.com/ www.CoronaLabs.com],https://coronalabs.com/jobs/,Corona Labs Inc.,NA,-1.0
Coskata,Private,Renewable Energy,-1,,-1,-1,,"https://www.glassdoor.com/Overview/Working-at-Coskata-Inc-EI_IE147308.11,22.htm","Coskata, Inc.",NA,-1.0
Coupa Software Inc.,,Internet Software & Services,-1,,2000,-1,,https://www.coupa.com/careers/,Coupa,NA,-1.0
"Coursera, Inc.",Online education,E-learning,-1,,1792,-1,,https://about.coursera.org/careers/,Coursera,NA,-1.0
CoverMyMeds,Subsidiary,Health informatics,-1,,-1,-1,,https://experience.covermymeds.com/,CoverMyMeds,NA,-1.0
"Coverity, Inc. - A Synopsys Company",Public,"Security Testing,Static_program_analysis,Static&nbsp;Program&nbsp;Analysis,Software_development,Software&nbsp;Development",-1,,250,-1,,https://www.synopsys.com/company/synopsys-careers.html,Coverity,AAN,57.34000015258789
Covisint,Subsidiary,Information Technology,-1,,180,-1,,https://www.mckinsey.com/careers/students,Covisint,NA,-1.0
Achilles Guard Inc.,,,-1,,-1,-1,,https://www.cisa.gov/careers,Critical Watch,NA,-1.0
"CrowdOptic, Inc.",Private company,"Software,Medical technology,Computer hardware",-1,,-1,-1,,https://www.careeronestop.org/,CrowdOptic,NA,-1.0
Cullinet,,Software company,-1,,-1,-1,,https://www.mckinsey.com/careers/students,Cullinet,NA,-1.0
Cupcake Digital Inc.,Private,Children’s Mobile Applications,-1,,50,-1,,https://jobs.careerbeacon.com/employer-profile/company-3080703123,Cupcake Digital,NA,-1.0
Cvent,Private,Software for planning managing and hosting in-person virtual and hybrid events conferences and meetings,-1,,3600,-1,,https://www.cvent.com/en/careers,Cvent,NA,-1.0
"CyberArk Software, Inc.",Public,Software,343000000,,1380,1999,[http://www.cyberark.com/ www.CyberArk.com],https://careers.cyberark.com/,CyberArk,AAN,57.34000015258789
Yara Shahidi,,,-1,,-1,-1,yarashahidi.com,http://www.cybersoft.net/pages/careers/careers.html,Cybersoft,NA,-1.0
"Cyfe, Inc.",Private,"Business Intelligence,Business Analysis,Software",-1,,-1,-1,,https://angel.co/company/cyfe/jobs,Cyfe,NA,-1.0
DAT/EM Systems International,Private,,-1,,-1,1985,http://datem.com/,https://www.datem.com/,DAT/EM Systems International,NA,-1.0
DB Networks,,"Technology,Information Security",-1,,-1,-1,,https://www.db.com/careers/en/grad/index.html,DB Networks,NA,-1.0
"DDC-I, Inc.",Privately held,"Life-critical system,safety-critical,embedded software",-1,,-1,1985,www.ddci.com,https://ddcinstitute.com/hire-our-students/,DDC-I,NA,-1.0
Developers' Interface Guide for 64-bit Intel Architecture Servers,Collaborative trade organization,"Firmware,operating system,Computer hardware,Hardware,Application software,Application",-1,,-1,-1,,https://www.mckinsey.com/careers/students,DIG64,NA,-1.0
DotNetNuke,,,-1,,-1,-1,http://www.dnnsoftware.com/,https://www.dnnsoftware.com/about/careers,DNN Corporation,NA,-1.0
DTV Innovations,Privately held company,software,-1,,-1,2002,,http://www.dtvinnovations.com/careers,DTV Innovations,NA,-1.0
LG Uplus Corp.,Public,Telecommunication,-1,,4987,-1,,https://www.mckinsey.com/careers/students,Dacom,AAMC,22.979999542236328
Daegis Inc.,Subsidiary,"Software,Computer programming,Programming",31000000,,140,-1,,https://www.opentext.com/products-and-solutions/products/opentext-product-offerings-catalog/rebranded-products/daegis,Daegis Inc.,NA,-1.0
Daily Journal Corporation,Public,"Publishing,Technology",48700000,Los Angeles California,250,1986,dailyjournal.com,https://dailyjournal.com/job_listings,Daily Journal Corporation,DJCO,275.80999755859375
Daintree Networks,Private,Wireless Building Control,-1,,-1,-1,,https://careernetwork.msu.edu/,Daintree Networks,NA,-1.0
Dakota Software Corporation,Private,"Environment Health and Safety,software",-1,,-1,-1,,https://www.dakotasoft.com/company/career-opportunities,Dakota Software,NA,-1.0
Daniel Cane,,,-1,,-1,-1,,https://alejandrocremades.com/daniel-cane/,Daniel Cane,NA,-1.0
"Daon, Inc.",Private,"Software,Biometrics",-1,,-1,-1,,https://www.daon.com/company/careers,"Daon, Inc.",NA,-1.0
Data Applied,,software,-1,Washington D.C.,-1,-1,,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,Data Applied,NA,-1.0
Data Domain Corporation,Subsidiary,"data deduplication,deduplication",-1,,-1,-1,,https://jobs.cigna.com/us/en/job/20017208/Data-Analyst-Provider-Data-Domain,Data Domain (corporation),NA,-1.0
DataArt Solutions Inc,Business network of private companies,,-1,,3000,-1,,https://www.dataart.com/about-dataart/careers,DataArt,NA,-1.0
DataGravity Inc.,Private limited company,Industry data management Security software,-1,,-1,2012,,https://careers.linkedin.com/students,DataGravity,NA,-1.0
"DataSage, Inc.",Privately Held,"data mining,personalization,clickstream,forecasting",-1,,120,1997,,https://www.dice.com/jobs/q-Entry+Level+Datastage+Developer-jobs,DataSage,NA,-1.0
DataTreasury,Private,,-1,,2,-1,datatreasury.com,https://careers.jpmorgan.com/us/en/students,DataTreasury,NA,-1.0
"DataViz, Inc.",Subsidiary,Software,-1,,-1,-1,www.dataviz.com,https://www.bestcolleges.com/careers/technology/data-visualization/,DataViz,NA,-1.0
"Databricks, Inc.",Private,"Software,Computer software",-1,,1442,-1,,https://databricks.com/company/careers,Databricks,NA,-1.0
Datacap Inc. - An IBM Company,Private,Computer software,-1,,55,-1,,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,Datacap,NA,-1.0
"Datadog, Inc.",Public,"Event monitoring,System Monitoring",-1,,1200,-1,,https://www.datadoghq.com/careers/,Datadog,A,110.33999633789062
Datalight,Private,Computer software,-1,,29,1983,,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,Datalight,NA,-1.0
Datalogic S.p.A.,Holding (,Electronics,-1,,0,-1,,https://www.datalogic.com/eng/company/careers-ca-26.html,Datalogics,NA,-1.0
"Datatel, Inc.",Private,Higher Education Technology Solutions,-1,,533,-1,,https://careers.ellucian.com/,Datatel,NA,-1.0
Daxcon,Private,"Aerospace,defense industry,Defense,Automotive,Agriculture,Product,Consumer Products,Construction,Mining",-1,,350,-1,,"https://www.glassdoor.com/Overview/Working-at-Daxcon-EI_IE140278.11,17.htm",Daxcon,NA,-1.0
"DaySmart Software, Inc.",Private Company,Computer Software,-1,,61,-1,,http://careers.daysmart.com/,DaySmart Software,NA,-1.0
"Daz Productions, Inc",Software and Content Developer,,-1,,-1,-1,,https://www.internships.com/posting/bug_38852945996,Daz 3D,NA,-1.0
DeLorme,,"software,technology",-1,,-1,-1,,https://careers-us.garmin.com/,DeLorme,NA,-1.0
"Deacom, Inc.",Private,"Enterprise resource planning,Enterprise Resource Planning",-1,,165,-1,,https://deacom.com/careers,Deacom,NA,-1.0
Dealpath,Private,Commercial Real Estate Software,-1,"San Francisco, CA",-1,2014,https://www.dealpath.com/,https://www.dealpath.com/careers/,Dealpath,NA,-1.0
EMS Software,,software,-1,,-1,-1,,https://www.emssoftware.com/,"Dean Evans & Associates, Inc.",NA,-1.0
"Decagon Devices, Inc.",,"Research,Research and development,Development,Manufacturing",-1,,-1,1983,,https://careers.ti.com/,Decagon Devices,NA,-1.0
Decillionix,,,-1,"Sunnyvale, California",-1,1983,,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,Decillionix,NA,-1.0
Declara,,Technology Company,-1,,-1,2012,,https://www.un.org/en/sections/resources-different-audiences/job-seekers/,Declara,NA,-1.0
"[[Deep web|Deep Web]] Technologies, Inc.",Private,Computer software,-1,,15,-1,,https://www.deepwebtech.com/company/careers/,Deep Web Technologies,NA,-1.0
"DeepScale, Inc.",Subsidiary,,-1,,-1,-1,,http://deepscale.ai/careers/,DeepScale,NA,-1.0
Deeplink,Private,Internet,-1,,-1,-1,,https://branch.io/careers/,Deeplink (company),NA,-1.0
"Dejal Systems, LLC",Limited liability company,Software publishing,-1,,-1,1991,dejal.com,https://www.dea.gov/student-entry-level-careers,Dejal,NA,-1.0
Dell EMC,Subsidiary,"Computer data storage,Computer storage",-1,,-1,-1,,https://jobs.dell.com/,Dell EMC,NA,-1.0
Dell EMC,Subsidiary,"Computer data storage,Computer storage",-1,,-1,-1,,https://jobs.dell.com/,Dell EMC Data Domain,NA,-1.0
Dell EMC,Subsidiary,"Computer data storage,Computer storage",-1,,-1,-1,,https://jobs.dell.com/students,Dell EMC Unity,NA,-1.0
Dell EMC,Subsidiary,"Computer data storage,Computer storage",-1,,-1,-1,,https://jobs.dell.com/students,Dell EMC VMAX,NA,-1.0
Dell EMC,Subsidiary,"Computer data storage,Computer storage",-1,,-1,-1,,https://jobs.dell.com/students,Dell EMC XtremIO,NA,-1.0
"Dell Software, Inc.",Private,,-1,,-1,-1,,https://jobs.dell.com/students,Dell Software,NA,-1.0
DemandTec by Acoustic,Private,,-1,"New York, New York industry            = Retail",-1,-1,,https://www.purdue.edu/studentemployment/,DemandTec,NA,-1.0
Demandware,Subsidiary,"e-commerce,mobile commerce,software,SaaS,cloud computing",254000000,,1000,-1,,https://www.salesforce.com/company/careers/,Demandware,NA,-1.0
Democrasoft,Public,Patent monetization,-1,,-1,-1,,http://www.democrasoft.com/,Democrasoft,NA,-1.0
Deneb Robotics,,CAD CAM,-1,,-1,-1,,https://www.getsmarter.com/blog/career-advice/career-path-artificial-intelligence-and-robotics/,Deneb Robotics,NA,-1.0
Deque Systems,Private Company,"Web accessibility,Web Accessibility",-1,,-1,-1,,https://www.deque.com/company/careers/,Deque Systems,NA,-1.0
"Design Science, Inc.",Private,Software Industry,-1,,-1,-1,,https://dscience.com/contact/careers/,Design Science (company),NA,-1.0
DEVAR Entertainment LLC,Private,Augmented Reality,-1,,200,2011,devar.org,https://www.linkedin.com/company/devar-official,Devar Entertainment,NA,-1.0
Devicescape,Private,"Mobile phone,Mobile,Software",-1,,-1,-1,,http://www.devicescape.com/open-positions/,Devicescape,NA,-1.0
The DiSTI Corporation,Privately owned company,Modeling and simulation,-1,,-1,-1,,https://www.austinisd.org/tad/careers,DiSTI,NA,-1.0
Dialogic,Private,Telecommunication,-1,,-1,-1,https://www.dialogic.com,https://www.mckinsey.com/careers/students,Dialogic Corp,NA,-1.0
Didiom LLC,Private,"Mobile media,Internet,software",-1,,-1,-1,,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,Didiom,NA,-1.0
"Dieselpoint, Inc.",Private company,"Information Technology,Information access",-1,,-1,-1,,http://dieselpoint.com/careers/index.html,"Dieselpoint, Inc.",NA,-1.0
Digital Assembly,Private,Computer software,-1,,-1,-1,,https://generalassemb.ly/careers,Digital Assembly,NA,-1.0
Digital Fuel,Privately held,Software & Programming,-1,,-1,-1,,https://www.mckinsey.com/careers/students,Digital Fuel,NA,-1.0
Digital Guardian,,Data security,-1,,375,2003,https://digitalguardian.com/,https://digitalguardian.com/about/careers,Digital Guardian,NA,-1.0
"Digital Keystone, Inc.",Private,Video Technology,-1,,-1,-1,,https://www.keystoneclick.com/careers-keystone-click,Digital Keystone,NA,-1.0
Digital Reasoning,Private,,-1,,-1,-1,,https://digitalreasoning.com/careers/,Digital Reasoning,NA,-1.0
Digital Research Inc. (DRI),Subsidiary,Software,45000000,,0,1974,,https://jobs.westerndigital.com/university,Digital Research,NA,-1.0
Digital River,Private,e-commerce,370500000,,1239,-1,,https://www.digitalriver.com/careers/,Digital River,NA,-1.0
"DigitalThink, Inc. (acquired by Convergys)",,Software & Programming,-1,,-1,-1,,,DigitalThink,NA,-1.0
"Dimdim, Inc.",Acquired by ,Software,-1,,-1,-1,,https://www.mckinsey.com/careers/students,Dimdim,NA,-1.0
Dimensional Insight,Private,Business Intelligence,-1,,-1,-1,,https://www.dimins.com/business-intelligence-jobs/,Dimensional Insight,NA,-1.0
Direct Sports Network,Private,Entertainment,-1,,-1,-1,,https://jobs.disneycareers.com/espn,Direct Sports Network,NA,-1.0
Disney Games and Interactive Experiences,Subsidiary,"Video game industry,Video games",982000000,Grand Central Airport (California) Grand Central Creative Campus,2000,1995,,https://jobs.disneycareers.com/,Disney Interactive,NA,-1.0
Dispersion Technology Inc,Private Incorporated,Instrumentation,-1,,-1,-1,,,Dispersion Technology,NA,-1.0
"Diversified Technology, Inc.",Private,Communications Industrial and Military Embedded Computers,-1,,-1,-1,,http://www.divtecs.com/employment-opportunities/,Diversified Technology,NA,-1.0
DocMagic Inc.,Private,,-1,,-1,-1,,https://www.docmagic.com/careers,DocMagic,NA,-1.0
"Docker, Inc.",,Computer software,-1,,-1,-1,www.docker.com/company,https://www.docker.com/careers,"Docker, Inc.",NA,-1.0
"DocuSign, Inc.",Public,,974000000,,3909,-1,docusign.com,https://www.docusign.com/company/careers,DocuSign,DOCU,236.77000427246094
Docudesk Corporation,Private,"Computer software,Publishing,Research and development",-1,,-1,-1,,,Docudesk,NA,-1.0
"Domo, Inc.",Public,Computer Software,-1,,824,-1,,https://www.domo.com/company/careers,Domo (company),A,110.33999633789062
Dorado Software,Private company,Operations Support Systems,-1,,-1,1998,,http://doradosoftware.com/About/Careers.htm,Dorado Software,NA,-1.0
Doximity Inc.,,"Internet industry,Internet",-1,,-1,-1,www.doximity.com,https://workat.doximity.com/positions/,Doximity,NA,-1.0
Crown Electrokinetics Corp.,Public,smart glass,-1,,-1,-1,,https://www.crownek.com/,Draft:Crown Electrokinetics,AA,14.050000190734863
Dreambox Learning,Privately Held,Software,-1,,-1,-1,,https://www.dreambox.com/careers,DreamBox (company),NA,-1.0
DreamFactory Software,,software,-1,"Las Vegas, NV",-1,1998,www.dreamfactory.com,https://www.dreamfactory.com/company/careers/,DreamFactory Software,NA,-1.0
DreamHammer,Private,Enterprise Software,-1,,-1,2011,,https://giardinopol.lensa.com/dreamhammer/jobs/c/65272c02c24b2a49419861a81e352dd51ab8fa27,DreamHammer,NA,-1.0
Dropbox,,,-1,,-1,-1,,https://www.dropbox.com/jobs,Dropbox (service),NA,-1.0
"DrugLogic, Inc.",Private,Computer software,-1,,-1,-1,,http://www.druglogic.com/,DrugLogic,NA,-1.0
dtSearch Corp.,Private,Software,-1,,-1,-1,,https://www.dtsearch.com/CS_recruit.html,DtSearch,NA,-1.0
Dynamic Yield,Private,"Software industry,Software,Web optimization",-1,New York City,-1,2011,[https://www.dynamicyield.com www.dynamicyield.com],https://www.dynamicyield.com/careers/,Dynamic Yield,NA,-1.0
DynamicOps,,Private and public cloud computing,-1,,-1,-1,,,DynamicOps,NA,-1.0
"Dynatrace, Inc.",Public,"https://www.gartner.com/en/information-technology/glossary/application-performance-monitoring-apm Application Performance Monitoring,IT operations analytics#AIOps,IT Operations Analytics,IT infrastructure,IT Infrastructure Monitoring,experience management,Digital Experience Management,Business Analytics,Digital Business Analytics",-1,,2200,2005,,https://www.dynatrace.com/company/careers/,Dynatrace,DT,38.68000030517578
"E2open LLC,",Private,"Enterprise Software,Supply Chain Management",-1,,-1,-1,,https://www.e2open.com/careers/,E2open,NA,-1.0
EFI Technology Inc.,Private company,"Automotive industry,Automotive,Defense contractor,Defense",-1,,-1,-1,,https://www.efi.com/about-efi/careers/job-search/,EFI Technology Inc,NA,-1.0
"eFileCabinet, Inc.",Private,document management software enterprise content management,-1,,-1,-1,,https://www.efilecabinet.com/careers/,EFileCabinet,NA,-1.0
EON Reality,,"Virtual Reality,Augmented Reality",-1,,-1,-1,,https://eonreality.com/tag/student-recruitment/,EON Reality,NA,-1.0
EPAM Systems,Public,Software engineering,2290000000,,36700,-1,,https://www.epam.com/careers,EPAM Systems,EPAM,346.6300048828125
eReflect,,Software,-1,,-1,2006,,,EReflect,NA,-1.0
EVRYTHNG,Private,,-1,,-1,-1,,https://www.topuniversities.com/student-info/careers-advice/everything-students-need-know-about-virtual-internships,EVRYTHNG,NA,-1.0
eVoice,Subsidiary,"Service,Business Services",-1,,-1,-1,,https://www.indeed.com/q-Automated-Voice-jobs.html,EVoice,NA,-1.0
Eagle Investment Systems,Subsidiary of BNY Mellon (NYSE: BK),Financial Services Technology,-1,,1000,-1,,https://jobs.bnymellon.com/jobs?keywords=Eagle%20Investment%20Systems&page=1,Eagle Investment Systems,NA,-1.0
"Eastgate Systems, Inc.",corporation,"Macintosh software industry  Windows software industry,Electronic publishing",-1,,-1,-1,,https://www.mckinsey.com/careers/students,Eastgate Systems,NA,-1.0
Easy Software Products,,software,-1,"Washington, D.C.",-1,1993,,https://www.ibm.com/us-en/employment/entrylevel/,Easy Software Products,NA,-1.0
Eclipsys Corporation,Public,healthcare information technology,519179999,,2800,-1,,,Eclipsys,ACH,5.869999885559082
"Economic Development Research Group, Inc.",,,-1,Massachusetts,-1,1997,,https://www.nber.org/career-resources,Economic Development Research Group,NA,-1.0
"Egenera, Inc.",,"cloud software,automation",-1,"Boxborough, Massachusetts",110,2000,www.egenera.com,https://www.mckinsey.com/careers/students,Egenera,NA,-1.0
Eggplant,,,-1,,-1,-1,eggplantsoftware.com,https://www.eggplantsoftware.com/join-us,Eggplant (software),NA,-1.0
"Elanex, Inc.",Private company,Translation services,-1,,-1,2002,,https://www.mckinsey.com/careers/students,Elanex,NA,-1.0
"Electric Cloud, Inc.",Private,Computer Software,-1,,0,-1,,http://electric-cloud.com/company/careers/?p=job%2FoNpV2fwT,Electric Cloud,NA,-1.0
"Embarcadero Technologies, Inc.",Private company,"Software development,Web development,Database design,Database management system",-1,,500,-1,,https://www.zippia.com/embarcadero-technologies-careers-62240/,Embarcadero Technologies,NA,-1.0
Empirix Inc.,Private,,-1,,-1,-1,,https://www.empirix.com/company/careers/jobs/,Empirix,NA,-1.0
"Emplify, Inc.",Private Company,Software as a Service,-1,"Fishers, Indiana",51,2011,emplify.com,https://amplify.com/careers/,Emplify,NA,-1.0
Encompass Technologies,Corporation,"beverage industry,Beverage Distributing",-1,,-1,-1,,https://www.encompass8.com/careers,Encompass Technologies,NA,-1.0
"Encore Software, LLC",Limited Liability Company,Software Development and Distribution,-1,,-1,-1,,https://encore.org/,"Encore, Inc.",NA,-1.0
Energy Points,,Enterprise Energy Management,-1,,-1,-1,,https://careers.centerpointenergy.com/,Energy Points,NA,-1.0
Enertia Software,,software,-1,"Midland, Texas",-1,-1,http://www.enertia-software.com/,https://www.enertia-software.com/careers,Enertia Software,NA,-1.0
Engagio Inc.,,"Marketing,software",-1,,-1,2015,http://www.engagio.com/,https://www.engagio.com/careers/,Engagio,NA,-1.0
Engels Maps Inc.,Private,"publishing,travel,transportation",-1,,-1,-1,,https://jobs.td.com/en/,Engels Maps,NA,-1.0
"Engineered Software, Inc.",Private,"Computer software,IT Consulting,Publishing",-1,,-1,-1,,https://www.computerscience.org/careers/software-engineer/,Engineered Software Inc.,NA,-1.0
Engrade,Learning management system,,-1,,-1,-1,,,Engrade,NA,-1.0
"Enigma Technologies, Inc.",Private,"Data as a service,Open Data,Internet,Technology,Financial Services",-1,,75,-1,[http://www.enigma.com www.enigma.com],https://enigma.com/careers/openings,Enigma (company),NA,-1.0
Enli Health Intelligence,Private,Software,25000000,,125,-1,,https://www.enli.net/,Enli Health Intelligence,NA,-1.0
Enologix,privately held,,-1,"Santa Cruz, California",-1,1989,,,Enologix,NA,-1.0
"Enplug, Inc.",Private,Software,-1,,-1,-1,https://www.enplug.com/,https://www.enplug.com/,Enplug,NA,-1.0
Entagen,,,-1,,-1,-1,,,Entagen,NA,-1.0
Entellium,Private (defunct),On-demand software,-1,,-1,-1,,https://www.mckinsey.com/careers/students,Entellium,NA,-1.0
Enterasys Networks,,Computer network,-1,,-1,-1,,https://www.extremenetworks.com/company/careers/,Enterasys Networks,NA,-1.0
EnterpriseAlumni Inc.,Privately held company,Computer software,-1,,42,-1,,https://enterprisealumni.com/careers/,EnterpriseAlumni,NA,-1.0
EnterpriseDB Corporation,Private,"Software,database",-1,,-1,-1,,https://www.enterprisedb.com/,EnterpriseDB,NA,-1.0
Divide (previously Enterproid),,Enterprise mobility management,-1,,-1,-1,,https://careers.enterprise.com/internships,Enterproid,NA,-1.0
Enthought,,Computer software,-1,,-1,2001,www.enthought.com,https://www.enthought.com/careers/,Enthought,NA,-1.0
"Entrust, Inc.",Private,Online information and identity protection,-1,,350,-1,,https://www.entrust.com/careers,Entrust,NA,-1.0
"Envivio, Inc.",Public,Video software,50600000,,500,-1,,,Envivio,A,110.33999633789062
Epic Systems Corporation,Private,"Information Technology,Health Informatics",2900000000,,10000,-1,,https://careers.epic.com/,Epic Systems,NA,-1.0
Epicor,Private,Computer software,900000000,,4100,-1,,https://jobs.epicor.com/,Epicor,NA,-1.0
"Epiphany, Inc.",Public,Computer software,71500000,,-1,-1,,http://www.epiphanyinc.net/company/careers,"Epiphany, Inc.",A,110.33999633789062
Equitrac Corporation,Subsidiary,document output management and cost recovery,-1,,-1,-1,,https://www.nuance.com/about-us/careers.html,Equitrac,NA,-1.0
"Ericom Software, Inc.",Private,"Software,Information Technology",-1,,-1,-1,,https://www.ericom.com/careers.asp,Ericom Software,NA,-1.0
Esri,Private,"Software,Geographic information system,Geographic Information Systems",-1,,3800,1969,,https://www.esri.com/en-us/about/careers/student-jobs,Esri,NA,-1.0
"Evergage, Inc.",,"Software as a Service,Web optimization,Website Optimization",-1,,-1,-1,,https://www.salesforce.com/company/careers/,Evergage,NA,-1.0
Excite,Portal,,-1,,-1,-1,,https://www.ucclermont.edu/careers,Excite,NA,-1.0
Exela Technologies,Public,"Software,information technology",-1,,22000,-1,,https://www.exelatech.com/careers,Exela Technologies,XELA,0.4050000011920929
Expensify,,"Expense management,software",-1,,-1,-1,https://www.expensify.com/,https://we.are.expensify.com/,Expensify,NA,-1.0
"Express Metrix, LLC",Privately held,IT asset management software,-1,,-1,-1,,https://www.express.com/g/careers,Express Metrix,NA,-1.0
OpenText Exstream,,Document Management,-1,,-1,1998,,https://www.e-xstream.com/about-us/about-e-xstream/careers,Exstream Software,NA,-1.0
Eze Castle Integration,Private,IT infrastructure and services,-1,,700,-1,[http://www.eci.com www.eci.com],https://www.eci.com/about-us/careers/,Eze Castle Integration,NA,-1.0
"F5, Inc.",Public,Technology,2161407000,,5325,-1,,https://www.f5.com/company/careers,F5 Networks,A,110.33999633789062
Fair Isaac Corporation,Public,Computer,932170000,,3358,-1,[https://www.fico.com/ www.fico.com],https://www.fico.com/en/careers,FICO,FICO,444.6000061035156
"Fidelity National Information Services, Inc.",Public,Financial Sector,12200000000,,55000,-1,,https://www.fisglobal.com/en/careers,FIS (company),FIS,132.58999633789062
"Facebook, Inc.",Public,"Social media,Advertising",70697000000,,52534,2004,https://about.fb.com/,https://www.facebook.com/careers/,"Facebook, Inc.",A,110.33999633789062
"FacilitySource, Inc.",Private,"Facility management,Subsidiary",-1,,595,-1,https://www.facilitysource.com,https://facilitysource.com/employment-opportunities/,FacilitySource,NA,-1.0
Falafel Software Inc.,Private,Computer software,-1,,19,-1,,,Falafel Software,NA,-1.0
FalconStor Software,Public,"software,Computer software",-1,,-1,-1,,https://www.falconstor.com/careers/,FalconStor Software,AMSWA,16.09000015258789
FastSpring,Private,SaaS,-1,,-1,-1,,https://fastspring.com/company/careers/,FastSpring,NA,-1.0
"Fastly, Inc.",,Internet,-1,,700,-1,,https://www.fastly.com/about/careers,Fastly,NA,-1.0
FatKat,Private,,-1,,-1,-1,,https://www.fatkatspizzeria.com/careers,FatKat (investment software),NA,-1.0
FellowshipOne,Privately held,Church software,-1,,-1,-1,,https://www.fellowshipone.com/careers/,Fellowship One,NA,-1.0
Fetch Softworks,,software,-1,"Etna, New Hampshire",-1,1989,,https://fetchsoftworks.com/,Fetch Softworks,NA,-1.0
"SAP Fieldglass, Inc.",Subsidiary,Software,-1,,1000,-1,,https://www.fieldglass.com/company/careers,Fieldglass,NA,-1.0
"Figaro Systems, Inc.",Private,,-1,,-1,-1,,https://career.asu.edu/5-benefits-developing-your-linkedin-profile,Figaro Systems,NA,-1.0
"Figure 53, LLC",,Live entertainment Software Theatre,-1,"Baltimore, Maryland",-1,2006,figure53.com,https://figure53.com/,Figure 53,NA,-1.0
FinalCode,Private,Computer Software,-1,,-1,2014,[http://www.finalcode.com/en/ finalcode.com],https://www.dhs.gov/homeland-security-careers/students,FinalCode,NA,-1.0
"Financial Navigator, Inc",Private,Computer software,-1,,0,-1,,"https://www.glassdoor.com/Job/financial-navigator-jobs-SRCH_KO0,19.htm",Financial Navigator,NA,-1.0
FinancialForce,Private company,Computer Software,-1,,750,-1,,https://www.financialforce.com/about/careers/,FinancialForce.com,NA,-1.0
Firebase,,,-1,,-1,-1,,,Firebase,NA,-1.0
Firehole Composites,Private,Composite Materials Analysis & Simulation,-1,,-1,-1,,https://en.wikipedia.org/wiki/Firehole_Composites,Firehole Composites,NA,-1.0
"FiscalNote, Inc.",Private,"Software as a service,information services,technology",-1,,475,-1,www.fiscalnote.com,https://careers.fiscalnote.com/positions/,FiscalNote,NA,-1.0
Fishbowl Inventory,Private,Software,-1,,150,-1,,https://www.fishbowlinventory.com/about/careers/,Fishbowl Inventory,NA,-1.0
"Fixstars Solutions, Inc.",Private,"Operating system,s Services Software",-1,,-1,2008,http://www.fixstars.com/en/,https://angel.co/company/fixstars-solutions/jobs,Fixstars Solutions,NA,-1.0
FlexGen Power Systems,,,-1,,-1,-1,,https://www.glassdoor.com/Salary/FlexGen-Power-Systems-Salaries-E1396943.htm,FlexGen Power Systems,NA,-1.0
FlexSim,,,-1,,-1,-1,[https://www.flexsim.com www.flexsim.com],https://www.flexsim.com/students/,FlexSim,NA,-1.0
Flexera,Investment company,,-1,,-1,1988,,https://www.flexera.com/about-us/careers.html,Flexera,NA,-1.0
FloQast,Private,Software,-1,"Los Angeles, California Los Angeles California United States U.S.",151,2013,https://floqast.com,https://floqast.com/company/careers/,FloQast,NA,-1.0
flok,Subsidiary,"Mobile computing,Mobile,Mobile app,Chatbots",-1,,-1,-1,,https://careers.flock.com/,Flok (company),NA,-1.0
"Flow Science, Inc.",Private,Computational Fluid Dynamics Software,-1,,-1,-1,,https://flowscience.com/careers/,"Flow Science, Inc.",NA,-1.0
Folio Corporation,Private,"Family history,Genealogy",-1,,-1,-1,,https://www.appfolioinc.com/careers,Folio Corporation,NA,-1.0
"Food Service Solutions, Inc.",Private,Software,-1,,-1,-1,,https://www.usfoods.com/careers.html,Food Service Solutions,NA,-1.0
"Forterra Systems, Inc.",,software,-1,"San Mateo, California",-1,1998,,https://careers.epic.com/,Forterra Systems,NA,-1.0
Fortify,Software Vendor,Computer software,-1,,-1,-1,,https://www.indeed.com/q-Fortify-Software-Security-jobs.html,Fortify Software,NA,-1.0
"Fortinet, Inc.",Public,"Network security,computer security",2160000000,,6015,-1,,https://www.fortinet.com/corporate/careers,Fortinet,FTNT,119.51000213623047
FortÃ© Internet Software,,,-1,,-1,-1,,,FortÃ© Internet Software,NA,-1.0
"FreeWave Technologies, Inc.",Private,wireless RF Communications M2M IoT automation,-1,,0,-1,,https://www.freewave.com/about/careers/,FreeWave Technologies,NA,-1.0
