name,industry,type,founded,num_employees,Revenue(in millions),Profit(in millions),students_careers_url,hq_location,website,score
Workfront,Other,Private,2001,670,230,-,https://careers.workfront.com/,"Lehi, UT",workfront.com,23.24723044
"MapR Technologies, Inc.",Software,Private,2009,456,400,-,https://mapr.agency/careers/,"Houston, TX",mapr.com,23.2465405
Intego,"Software,Consulting,Security",Private,1997,256,38.3,-,https://www.intego.com/company/careers,"Seattle, WA",intego.com,23.24243287
Epic Systems Corporation,"Software,Consulting,Pharmaceuticals",Private,1979,10000,2900,-,https://careers.epic.com/,"Verona, WI",epic.com,23.22437271
Wind River Systems Inc.,Other,Private,1981,1800,360,-,https://windriver.com/careers/,"Alameda, CA",windriver.com,23.21770948
Salesforce Marketing Cloud,Automobiles,Public,2000,1800,292,-,https://www.salesforce.com/company/careers/,"San Francisco, CA",marketingcloud.com,23.21725715
Pegasystems Inc.,Software,Public,1983,5000,892,-,https://www.pega.com/about/careers,"Cambridge, MA",pega.com,23.2084746
Roxio,Software,Private,2001,500,9,-,https://www.roxio.com/en/pages/coupons/,"Santa Clara, CA",roxio.com,23.20431398
Sony Creative Software Inc.,Software,Private,2003,200,8,-,https://www.sonyjobs.com/internships.html,,sonycreativesoftware.com,23.20175486
UiPath Inc.,"Artificial Intelligence,Automobiles",Private,2005,2800,400,-,https://www.uipath.com/company/careers,"New York, NY",uipath.com,23.18648378
Namely,Other,Private,2012,500,40,-,https://www.namely.com/careers/,"New York, NY",namely.com,23.16452019
"Motus, LLC",Other,Private,2004,200,78.1,-,https://www.motus.com/careers/,"Boston, MA",motus.com,23.16222116
"NGP VAN, Inc.","Software,Consulting,Database,Networking",Private,2001,190,28.9,-,https://www.ngpvan.com/careers,"Washington, D.C.",ngpvan.com,23.1618088
Blue Marble Geographics,Software,Private,2004,22,19.2,-,https://www.bluemarblegeo.com/about-us/careers.php,"Indianapolis, IN",bluemarblegeo.com,23.1603149
"Bullhorn, Inc.",Consulting,Private,1999,950,220,-,https://www.bullhorn.com/careers/,"Boston, MA",bullhorn.com,23.12954623
TubeMogul Inc.,Social media,Private,2007,577,181,-,https://angel.co/company/tubemogul/jobs,"Emeryville, CA",tubemogul.com,23.12611324
Verint Systems Inc.,"Software,Consulting,Data Analytics,Multimedia",Public,1994,3900,1140,-,https://www.verint.com/careers/,"Huntington, NY",verint.com,23.12076522
"PlanGrid, Inc.",Other,Private,2012,450,70,-,https://jobs.lever.co/plangrid/,"San Francisco, CA",plangrid.com,23.08429433
PandaDoc,Software,Private,2013,225,18.5,-,https://www.pandadoc.com/careers/,"San Francisco, CA",pandadoc.com,23.08203741
TechChange,Other,Private,2010,50,-,-,https://www.techchange.org/careers/communications-and-marketing-fellow/,"Washington, DC",techchange.org,23.08042541
Kronos Incorporated,Other,Private,1977,6000,1430,-,https://www.kronos.com/about-us/careers,"Lowell, MA",kronos.com,23.06056154
Slice,Other,Private,2010,496,134,-,https://slicelife.com/pages/careers,,slicelife.com,23.04511143
ZeroFOX,"Consulting,Security",Private,2013,150,49.6,-,https://www.zerofox.com/careers/,"Baltimore, MD",zerofox.com,23.04160617
Socialtext,Other,Private,2002,50,9,-,https://www.mckinsey.com/careers/students,"Palo Alto, CA",socialtext.com,23.04048528
MartianCraft,Software,Private,2010,50,4,-,https://martiancraft.com/careers.html,"Fairfax, Virginia",martiancraft.com,23.04045202
GotoBus,"Software,Travel",Private,2002,25,18.2,-,https://www.gotobus.com/aboutus/employment/,"Cambridge, MA",gotobus.com,23.04033377
Ivanti,"Software,Consulting,Security",Private,1985,1700,500,-,https://www.ivanti.com/company/careers,"South Jordan, UT",ivanti.com,23.01778992
CivicPlus,"Software,Networking",Private,1998,500,45,-,https://www.civicplus.com/careers,"Manhattan, KS",civicplus.com,23.00455345
Loggly,Software,Private,2009,50,324,-,https://www.loggly.com/about/careers/,"San Francisco, CA",loggly.com,23.00258062
UserVoice,Software,Private,2008,30,116,,https://uservoice.com/about/#join-us,"San Francisco, CA",uservoice.com,23.00102687
Conversocial,Software,Private,2009,70,10,-,https://www.conversocial.com/about/careers,"New York City, NY",conversocial.com,23.00066209
"Oceanhouse Media, Inc.",Software,Private,2009,10,4400,-,http://www.oceanhousemedia.com/about/,"Westerly, Rhode Island",oceanhousemedia.com,22.98935337
"Talkdesk, Inc.",Software,Private,2011,930,39,-,https://www.talkdesk.com/careers/,"San Francisco, CA",talkdesk.com,22.96817207
Letgo,Software,Private,2015,250,38.4,-,https://we.letgo.com/careers,"New York, NY",letgo.com,22.96238249
PGP Corporation,Software,Private,2002,225,50,-,https://www.pgcareers.com/,"Menlo Park, CA",pgp.com,22.96224694
Help Scout,Software,Private,2011,100,15.1,-,https://www.helpscout.com/company/careers/,"Boston, MA",helpscout.com,22.96095127
"OSIsoft, LLC",Software,Private,1980,1300,330,-,https://www.osisoft.com/about-osisoft/careers/,"San Leandro, CA",osisoft.com,22.93325581
ChannelAdvisor,E-Commerce,Public,2001,640,130,-,https://www.channeladvisor.com/careers/,,channeladvisor.com,22.92631001
"Swappa, LLC",E-Commerce,Private,2010,40,895,-,https://swappa.com/blog/swappa-is-hiring-moderators-q3/,"Kansas City, Missouri",swappa.com,22.92629377
Fishbowl Inventory,Software,Private,2001,150,12,-,https://www.fishbowlinventory.com/about/careers/,"Alexandria, VA",fishbowlinventory.com,22.92135606
Swiftype,"Software,Consulting",Private,2012,40,1,-,https://swiftype.com/jobs,"San Francisco, CA",swiftype.com,22.92034698
Coupa Software Inc.,"Software,Networking",Private,2006,2000,390,-,https://www.coupa.com/careers/,"San Mateo, CA",coupa.com,22.89961068
QIAGEN Silicon Valley,Software,Private,2003,1000,1530,-,https://corporate.qiagen.com/careers/,"Redwood City, California",qiagen.com,22.89868561
"Coursera, Inc.",Other,Private,2012,1790,140,-,https://about.coursera.org/careers/,"Mountain View, CA",about.coursera.org,22.89616099
"ThoughtSpot, Inc.",Data Analytics,Private,2012,580,100,-,https://www.thoughtspot.com/careers,"Sunnyvale, CA",thoughtspot.com,22.88559996
MindTouch Responsive,Other,Private,2005,200,10,-,https://mindtouch.com/about/careers,"San Diego, CA",mindtouch.com,22.88176816
EnterpriseDB Corporation,"Software,Database",Private,2004,50,21.5,-,https://www.enterprisedb.com/,"Bedford, MA",enterprisedb.com,22.88056843
Sorenson Media,Software,Private,1995,40,11.3,-,https://www.sorensonimpact.com/job-opportunities,,sorensonmedia.com,22.8804155
Stackify,Software,Private,2012,40,2200,-,https://stackify.com/careers/,"Leawood, Kansas, United States",stackify.com,22.85497448
Dynamic Yield,"Software,Networking",Private,2011,250,500,-,https://www.dynamicyield.com/careers/,New York City,dynamicyield.com,22.845453
Videology,"Software,Social media",Private,2007,300,300,-,https://videologygroup.com/,New York City,videologygroup.com,22.84454803
Hiveage,Other,Private,2014,50,440,-,https://www.hiveage.com/careers/,"Boston, MA",hiveage.com,22.84335224
Mixamo Inc.,Multimedia,Private,2008,20,291,-,https://www.mixamo.com/,"San Francisco, CA",mixamo.com,22.84210586
Networked Insights,Data Analytics,Private,2006,150,2,-,https://networkedinsights.com/careers/,,networkedinsights.com,22.84128954
DotNetNuke,Other,Private,2006,10,105,-,https://www.dnnsoftware.com/about/careers,"Austin, TX",dnnsoftware.com,22.84078353
Wikispaces,Other,Private,2005,10,-,-,https://nraas.wikispaces.com/Careers,"San Francisco, CA",wikispaces.com,22.84008508
Zeta Interactive Corp.,Consulting,Private,2007,1300,400,-,https://zetaglobal.com/about/#careers,"New York, NY",zetaglobal.com,22.81372145
"Entrust, Inc.","Consulting,Networking",Private,1994,350,800,-,https://www.entrust.com/careers,"Addison, TX",entrust.com,22.80829939
Dreambox Learning,Software,Private,2006,275,46,-,https://www.dreambox.com/careers,"Bellevue, WA",dreambox.com,22.80264575
InMarket,Software,Private,2010,100,100,-,https://inmarket.com/careers/,"Los Angeles, CA",inmarket.com,22.80151601
"DataViz, Inc.",Software,Private,1984,50,5,-,dataviz.com,"Milford, CT",dataviz.com,22.80045867
Conductor,Consulting,Private,2006,450,34,-,https://www.conductor.com/careers/,,conductor.com,22.76405487
Naviance,Software,Private,2002,150,137,-,https://www.naviance.com/,"Arlington, Virginia",naviance.com,22.76218754
Quest Software Inc,Software,Private,1987,2750,500,-,https://www.quest.com/company/careers.aspx,"Aliso Viejo, CA",quest.com,22.74672356
"MRI Software, LLC","Software,Distributed Systems",Private,1971,2000,300,-,https://www.mrisoftware.com/about/careers/,"Solon, OH",mrisoftware.com,22.73901201
Citrix Online,Software,Private,1997,8200,3010,629,https://www.citrix.com/careers/university-recruiting/,"Santa Barbara, California Santa Barbara California",citrixonline.com,22.72978961
Concentric Sky,Other,Private,2005,90,4,-,https://www.concentricsky.com/team/careers,"Eugene, OR",concentricsky.com,22.72079235
IdeaScale,Software,Private,2009,50,10.4,-,https://ideascale.com/ideascale-careers/,"Berkeley, CA",ideascale.com,22.72049459
"Bluebeam, Inc.",Software,Private,2002,500,40.4,-,https://www.bluebeam.com/communities/education/,"Pasadena, CA",bluebeam.com,22.68452285
"Knewton, Inc.",Software,Private,2008,150,381,-,https://www.knewton.com/,"New York, NY",knewton.com,22.6838106
Digital Guardian,"Consulting,Security",Private,2003,375,74.7,-,https://digitalguardian.com/about/careers,"Waltham, MA",digitalguardian.com,22.68368748
"Glooko, Inc",Software,Private,2011,170,24.2,-,https://www.glooko.com/careers/,"Mountain View, CA",glooko.com,22.68160737
Enthought,Software,Private,2001,80,39.3,-,https://www.enthought.com/careers/,"Austin, TX",enthought.com,22.68094208
"Mariner Software, Inc.",Software,Private,1990,50,7,-,https://marinersoftware.com/,"Minneapolis, MN",marinersoftware.com,22.68047197
"ServiceNow, Inc.",Software,Public,2003,11000,3460,-,https://www.servicenow.com/careers.html,"Santa Clara, California",servicenow.com,22.67660599
Rocket Software Inc.,Software,Private,1990,1400,450,-,https://www.rocketsoftware.com/rocket-jobs,"Waltham, MA",rocketsoftware.com,22.65490486
Hitachi Data Systems,"Software,Consulting,Database,Electronics",Private,1989,6300,88.4,-,https://www.hitachivantara.com/en-us/company/careers.html,,hitachivantara.com,22.65418984
"Nanex, LLC",Software,Private,2000,8,1600,-,http://www.nanex.net/careers.html," Winnetka, IL",nanex.net,22.65064302
Quark,Software,Private,1981,250,100,-,https://www.quark.com/about/careers/,"Denver, CO",quark.com,22.64279224
Zimperium,"Software,Consulting,Security",Private,2010,180,36.1,-,https://www.zimperium.com/company#jobs,"Dallas, TX",zimperium.com,22.64177161
Pertino,Software,Private,2011,100,20,-,https://cradlepoint.com/about-us/careers/,"Los Gatos, CA",cradlepoint.com,22.64098386
Vocus,Software,Private,2008,1200,187,-,https://www.vocus.com.au/careers,,vocus.com,22.61145377
WSO2,Other,Private,2005,600,109,-,https://wso2.com/careers/,"Mountain View, CA",wso2.com,22.60582999
SirsiDynix,Software,Private,1979,350,125,-,https://www.sirsidynix.com/careers/,"Lehi, UT",sirsidynix.com,22.60380936
Scality,"Software,Consulting,Database",Private,2009,210,61,-,https://www.scality.com/careers/,"San Francisco, CA",scality.com,22.60219249
mLab,"Software,Distributed Systems,Database",Private,2011,36,118,64.9,https://mlab.com/,"San Francisco, CA",mlab.com,22.60109122
"Figure 53, LLC","Software,Multimedia",Private,2006,37600,92.7,-,https://figure53.com/,"Baltimore, Maryland",figure53.com,22.60052588
Web.com,Other,Private,1999,3500,1210,-,https://www.web.com/about-us/careers,,web.com,22.59782757
Veritas Technologies LLC,Other,Private,1993,7000,2600,-,https://www.veritas.com/company/careers,"Santa Clara, CA",veritas.com,22.59685247
MobileIron,"Consulting,Security",Public,2007,960,205,-,https://www.mobileiron.com/en/company/careers,"Mountain View, CA",mobileiron.com,22.56953153
"QuickBase, Inc.","Software,Consulting",Private,1999,315,125,-,https://www.quickbase.com/about-us/careers,"Cambridge, MA",quickbase.com,22.56351158
Parasoft,Software,Private,1987,250,60.4,-,https://www.parasoft.com/company/careers/,"Monrovia, CA",parasoft.com,22.56252883
"Monetate, Inc.","Software,Consulting,Networking",Private,2008,220,2,-,https://monetate.com/about/careers/,"New York City, NY",monetate.com,22.56188511
"Anthem, Inc.",Pharmaceuticals,Public,2004,70600,104,"5,990.00",https://anthemcareers.ttcportals.com/,"Indianapolis, IN",antheminc.com,22.56137245
Cambridge Semantics,Software,Private,2007,100,13.8,-,https://www.cambridgesemantics.com/about-us/careers/,"Boston, MA",cambridgesemantics.com,22.56094262
"Quest Visual, Inc.",Software,Private,2009,4,13.4,-,https://www.quest.com/company/careers.aspx,"San Francisco, CA",questvisual.com,22.56008914
GoodData,Software,Private,2007,290,200,-,https://www.gooddata.com/company/careers,"San Francisco, CA",gooddata.com,22.52379776
Clarifai,Software,Private,2013,90,41.3,-,https://www.clarifai.com/careers,"New York, NY",clarifai.com,22.52104046
EVRYTHNG,Other,Private,2011,80,47.3,-,https://apply.workable.com/evrythng/,"New York City, London and San Francisco",evrythng.com,22.52099529
"SumTotal Systems, Inc.",Software,Public,1985,950,161,-,https://www.sumtotalsystems.com/,"Gainesville, FL",sumtotalsystems.com,22.48915377
"IceWarp, Inc.","Software,Consulting,Networking,Security",Private,1998,180,9,-,https://www.icewarp.com/segments/education/,"Springfield, VA",icewarp.com,22.48159135
NetDocuments,Software,Private,1999,160,31.8,-,https://www.netdocuments.com/,"Orem, UT",netdocuments.com,22.48157285
"Emplify, Inc.",Software,Private,2011,50,68.6,-,https://amplify.com/careers/,"Fishers, Indiana",emplify.com,22.48088173
ZipBooks,Other,Private,2015,40,78.6,-,https://zipbooks.com/careers/,"Lehi, UT",zipbooks.com,22.48086317
RightSignature,Other,Private,2009,100,1,-,https://jobs.citrix.com/,"Santa Barbara, CA",rightsignature.com,22.48085747
"Magoosh, Inc.",Networking,Private,2009,50,10,-,https://magoosh.com/careers/,"Berkeley, CA",magoosh.com,22.48049193
Thryv,Software,Public,2013,2400,240,-,https://corporate.thryv.com/careers/,North Carolina,thryv.com,22.46201619
BroadSoft Inc.,"Software,Networking",Private,1998,1600,341,15.5,https://www.cisco.com/c/en/us/about/careers.html,"Gaithersburg, MD",broadsoft.com,22.45588145
RallyPoint,Networking,Private,2012,150,1700,-,https://www.rallypoint.com/topics/jobs,"Boston, MA",rallypoint.com,22.45258444
Borland Software Corporation,Software,Private,1983,1100,172,-,https://jobs.microfocus.com/,"Austin, TX",borland.com,22.45050317
Vertica,Database,Private,2005,275,550,-,https://www.vertica.com/about/careers/,"Cambridge, MA",vertica.com,22.4459983
"Prolexic Technologies, now part of Akamai","Software,Consulting",Private,2003,7650,2890,478,https://www.akamai.com/us/en/about/careers/,Florida,prolexic.com,22.44431187
Inedo,"Software,Consulting",Private,2007,320,3,-,https://inedo.com/company/career-culture,"Upper Berea, OH",inedo.com,22.44274259
BetterCloud,"Software,Networking",Private,2011,280,50,-,https://www.bettercloud.com/careers/,"New York, NY",bettercloud.com,22.4427149
"Dejal Systems, LLC",Software,Private,1991,250,1,-,https://www.dea.gov/student-entry-level-careers,"Portland, OR",dejal.com,22.44213371
Ready4,Other,Private,2013,60,9,-,https://www.ready4.com/careers,"Boston, MA",ready4.com,22.44057036
Publicis Sapient,Other,Public,1990,20000,1310,125,https://careers.publicissapient.com/students,"Boston, MA",publicissapient.com,22.41887846
Skyward,Software,Private,1980,200,126,-,https://www.skyward.com/working-for-skyward,"Stevens Point, WI",skyward.com,22.40253978
Lucidworks Inc.,"Software,Consulting,Networking",Private,2007,200,96.7,-,https://lucidworks.com/careers/opportunities/,"San Francisco, CA",lucidworks.com,22.40234488
"Rediker Software, Inc.",Other,Private,1980,100,18,-,https://www.rediker.com/about-us/careers,"Hampden, MA",rediker.com,22.40097056
"Jack Henry & Associates, Inc.",Other,Public,1976,6500,1540,392,https://careers.jackhenry.com/,"Monett, MO",jackhenry.com,22.38554736
"Support.com, Inc.","Software,Networking",Public,1997,1200,60.1,-,https://corporate.support.com/careers/,"Sunnyvale, CA",support.com,22.37060965
Univa Grid Engine Software,Other,Private,2000,5000,10,-,https://www.univa.com/about/careers.php,"Troy, MI",univa.com,22.36260764
Condusiv Technologies,Software,Private,1981,250,32.2,-,https://condusiv.com/about/careers/,"Austin, TX",condusiv.com,22.36234125
Widen,Other,Private,1948,150,21.6,-,https://www.widen.com/careers,"Madison, United States of America",widen.com,22.36141991
SCVNGR,Other,Private,2008,60,27.4,-,https://careers.grubhub.com/,"Cambridge, MA",scvngr.com,22.36069276
"SocialFlow, Inc.",Networking,Private,2009,50,35,-,https://www.socialflow.com/company/,"New York, NY",socialflow.com,22.36065823
SAP Ariba,"Software,Networking",Private,1996,3640,335,-,https://www.ariba.com/about/sap-ariba-careers,"Palo Alto, CA",ariba.com,22.35319832
"Pingboard, Inc.",Software,Private,2013,11,3200,-,https://pingboard.com/careers,"Austin, TX",pingboard.com,22.34137962
TheBrain Technologies,Software,Private,1998,450,1,-,https://www.thebrain.com/careers,,thebrain.com,22.32383535
"Booker Software, Inc.",Other,Private,2007,270,56,-,https://www.booker.com/careers/listing/qa,"New York City, NY",booker.com,22.32266973
"Cockroach Labs, Inc.",Software,Private,2015,150,27,-,https://www.cockroachlabs.com/careers/,New York City,cockroachlabs.com,22.32145583
"Telligent, A Verint Company","Software,Networking",Private,2004,100,31,-,https://www.telligent.com/about/join-us/,"Dallas, TX",telligent.com,22.32105703
InterSystems,Software,Private,1978,1800,720,-,https://www.intersystems.com/who-we-are/careers/,"Cambridge, MA",intersystems.com,22.30010416
Radius,Software,Private,2009,400,173,-,https://www.kabbage.com/company/careers/,"Waltham, MA",radius.com,22.28455407
Iteris Inc.,Other,Public,2004,360,114,-,https://www.iteris.com/careers,"Santa Ana, CA",iteris.com,22.28382128
Claris International Inc.,Software,Private,1998,300,13,-,https://www.claris.com/company/,"Santa Clara, CA",claris.com,22.28263894
GoGuardian,Software,Private,2014,230,33.5,-,https://www.goguardian.com/careers/,,goguardian.com,22.28217973
SA International,Software,Private,1978,3500,106,142,https://www.thinksai.com/careers,,thinksai.com,22.27048389
InterCall,"Software,Networking",Private,1991,4000,2690,-,http://www.intercallapac.com/about-us/careers-test.php,"Chicago, IL",intercall.com,22.25192647
"Kerio Technologies, Inc.","Software,Consulting,Networking,Security",Private,1997,200,1270,-,http://www.kerio.com/company/careers,"San Jose, CA",kerio.com,22.25014954
CoverMyMeds,Pharmaceuticals,Private,2008,1000,208,-,https://experience.covermymeds.com/,"Columbus, OH",covermymeds.com,22.24989182
Fetch Softworks,Software,Private,1989,100,571,-,https://fetchsoftworks.com/,"Etna, New Hampshire",fetchsoftworks.com,22.24464905
"Infogix, Inc.","Software,Consulting",Private,1982,455,64.6,-,https://www.infogix.com/careers/,"Naperville, IL",infogix.com,22.24430095
Atlas Games,Other,Private,1990,270,9,-,https://atlas-games.com/jobs,"Saint Paul, MN",atlas-games.com,22.24235709
RapidSOS,Software,Private,2012,120,44.1,-,https://rapidsos.com/careers/,"New York, NY",rapidsos.com,22.24131434
FellowshipOne,Software,Private,2003,100,11,-,https://www.fellowshipone.com/careers/,,fellowshipone.com,22.24092399
"Enigma Technologies, Inc.","Software,Networking",Private,2011,75,30,-,https://enigma.com/careers/openings,"New York, NY",enigma.com,22.24083767
NextGen Healthcare,"Consulting,Pharmaceuticals",Public,1976,2900,536,-,https://recruiting.adp.com/srccar/public/RTI.home?c=2176107&d=ExternalCareerSite,"Irvine, CA",nextgen.com,22.22823926
StarWind Software Inc.,Software,Private,2003,230,38.6,-,https://www.starwindsoftware.com/careers,"Middleton, MA",starwindsoftware.com,22.20221365
ObjectSecurity,"Consulting,Security",Private,2000,500,32,-,https://objectsecurity.com/careers/,"San Diego, CA",objectsecurity.com,22.16446697
HelloWallet,"Software,Finance",Private,2009,60,162,-,https://www.key.com/to/obi+careers,"Washington, DC",hellowallet.com,22.1615881
"Evergage, Inc.","Software,Consulting,Networking",Private,2010,90,19,-,https://www.salesforce.com/company/careers/?d=70130000000i80S,"Somerville, MA",evergage.com,22.16089213
Tech Data Corporation,"Software,Consulting,E-Commerce,Electronics",Private,1974,14000,36.8,410,https://www.techdata.com/careers.html,"Clearwater, FL",techdata.com,22.15935993
"MedAssets, Inc","Software,Pharmaceuticals",Public,1999,3400,450,-,https://www.nthrive.com/careers/,"Alpharetta, GA",nthrive.com,22.15192131
"FiscalNote, Inc.",Software,Private,2013,475,20,-,https://careers.fiscalnote.com/positions/,"Washington, D.C",fiscalnote.com,22.12417444
"Guidance Software, Inc.",Consulting,Private,1997,371,91.9,-,https://www.careerbliss.com/guidance-software/,"Pasadena, CA",guidancesoftware.com,22.12376786
"Miva, Inc.",Software,Private,1996,120,21.6,-,https://www.miva.com/company/careers,"San Diego, CA",miva.com,22.12116467
TippingPoint,"Networking,Electronics",Private,2005,700,44.3,-,https://tippingpoint.org/jobs,"San Francisco, CA",tippingpoint.org,22.08625044
Green Hills Software Inc.,Software,Private,1982,300,1,-,https://www.ghs.com/jobs_usa.html,"Santa Barbara, CA",ghs.com,22.08255912
Magaya Corporation,"Software,Travel",Private,2001,120,17.4,-,https://www.magaya.com/careers/,"Miami, Florida",magaya.com,22.08113673
The Echo Nest Ltd.,Multimedia,Private,2005,65,25.6,-,https://angel.co/company/echonest,"Somerville, MA",echonest.com,22.08072332
DataArt Solutions Inc,Other,Private,1997,3000,140,-,https://www.dataart.com/about-dataart/careers,"New York, NY",dataart.com,22.06645594
"Guidewire Software, Inc.",Software,Public,2001,2500,742,-,https://careers.guidewire.com/students-graduates,"San Mateo, CA",guidewire.com,22.06620626
"Lionbridge Technologies, Inc.",Software,Private,1996,6000,705,-,https://www.lionbridge.com/join-our-team/,"Waltham, MA",lionbridge.com,22.05573893
"Ultimate Software Group, Inc.","Software,Consulting",Private,1990,5150,940,-,http://m.ultimatesoftware.com/careers-at-ultimate,"Weston, FL",ultimatesoftware.com,22.05007013
Good Technology,Software,Private,1996,150,212,-,https://www.blackberry.com/us/en/company/careers,"Sunnyvale, California",good.com,22.04268643
ShopKeep,Other,Private,2008,200,50,-,https://www.shopkeep.com/careers,"New York, NY",shopkeep.com,22.04203424
"WANdisco, plc.","Software,Distributed Systems,Data Analytics",Public,2005,180,16,-,https://wandisco.com/company/careers,"San Ramon, CA",wandisco.com,22.04163791
NuSphere,Other,Private,2001,130,24,-,http://www.nusphere.com/about/careers.htm,"Reno, Nevada",nusphere.com,22.04126571
"Clarizen, Inc.",Software,Private,2006,60,35.4,-,https://www.clarizen.com/about/careers/,"San Mateo, CA",clarizen.com,22.04074597
Upland Software,Other,Public,-,-,-,-,https://uplandsoftware.com/about-upland/careers/,,uplandsoftware.com,22.04
Enterasys Networks,"Software,Networking",Private,1983,2750,12.9,-,https://www.extremenetworks.com/company/careers/,"San Jose, CA",enterasys.com,22.02348343
Fungible Inc.,Software,Private,2015,200,10.2,-,https://www.fungible.com/careers/,"Santa Clara, CA",fungible.com,22.00176949
Platfora,Data Analytics,Private,2011,125,17,-,https://angel.co/company/platfora,"San Mateo, CA",platfora.com,22.00117661
OpenEye Scientific Software,"Software,Pharmaceuticals",Private,1997,100,10.4,,https://www.eyesopen.com/careers,"Santa Fe, NM",eyesopen.com,22.00092
High Fidelity,Other,Private,2013,40,47.9,-,https://jobs.lever.co/highfidelity,"San Francisco, CA",highfidelity.com,22.00065895
"Cyfe, Inc.",Software,Private,2012,20,2,-,https://angel.co/company/cyfe/jobs,"Los Angeles, CA",cyfe.com,22.00018347
"Integrated Computer Solutions, Inc.",Software,Private,1987,100,9970,-,https://icsinc.com/careers/,"Waltham, MA",ics.com,21.98717011
Veeva Systems Inc.,Software,Public,2007,2400,378,-,https://www.veeva.com/meet-veeva/careers/,"Pleasanton, CA",veeva.com,21.98293415
Humanyze,"Software,Networking,Electronics",Private,2010,60,8800,-,https://www.humanyze.com/careers/,"Boston, MA",humanyze.com,21.97904708
FinancialForce,Software,Private,2009,750,140,-,https://www.financialforce.com/about/careers/,"San Francisco, CA",financialforce.com,21.96731243
CloudHealth by VMware,Software,Private,2012,280,500,-,https://www.cloudhealthtech.com/careers,"Boston, MA",cloudhealthtech.com,21.96570825
"Twocanoes Software, LLC",Software,Private,2012,5,391,-,https://twocanoes.com/jobs/,"Naperville, IL",twocanoes.com,21.96260089
"Optoro, Inc.","Software,Travel",Private,2004,240,50,-,https://www.optoro.com/careers/,"Washington, DC",optoro.com,21.96237457
SalesforceIQ,Other,Public,2011,130,69,-,https://www.salesforce.com/company/careers/,"San Francisco, CA",salesforceiq.com,21.96156505
Moovweb,Distributed Systems,Private,2009,90,12.9,-,https://www.moovweb.com/jobs,"San Francisco, CA",moovweb.com,21.96085155
DeLorme,Software,Private,1976,75,18.2,-,https://careers-us.garmin.com/us/en/,"Yarmouth, ME",delorme.com,21.96075918
"Portalarium, Inc.","Networking,Multimedia",Private,2009,30,5,-,https://www.builtinaustin.com/company/portalarium/jobs,"Austin, TX",portalarium.com,21.96028851
DreamFactory Software,Software,Private,1998,4000,10,-,https://www.dreamfactory.com/company/careers/,"Las Vegas, NV",dreamfactory.com,21.95409942
Learning Tree International,Other,Private,1974,660,64.3,-,https://www.learningtree.com/careers/,"Herndon VA, USA",learningtree.com,21.92604314
Kareo,Other,Private,2004,620,50,-,https://www.kareo.com/careers,"Irvine, CA",kareo.com,21.92560769
"Moxie Software, Inc.",Software,Private,2006,220,222,-,https://moxiesoftware.recruitee.com/,"Mountain View, California",moxiesoft.com,21.92334853
"Electric Cloud, Inc.",Software,Private,2002,100,145,-,http://electric-cloud.com/company/careers/?p=job%2FoNpV2fwT,"Sunnyvale, CA",electric-cloud.com,21.92181535
"SocialChorus, Inc.",Software,Private,2008,150,30,-,https://socialchorus.com/company/careers/,"San Francisco, CA",socialchorus.com,21.92147579
Engagio Inc.,Software,Private,2015,60,7,-,https://www.engagio.com/careers/,"San Mateo, CA",engagio.com,21.92055706
Predixion Software,"Software,Data Analytics",Private,2009,50,10,-,https://greenwavesystems.com/about/careers,"Irvine, CA",greenwavesystems.com,21.92049193
Workiva Inc.,"Software,Distributed Systems",Public,2008,1420,298,-,https://www.workiva.com/careers,"Ames, IA",workiva.com,21.89406394
Blackline,Software,Public,2001,1055,289,-,https://www.blackline.com/careers/,"Los Angeles, CA",blackline.com,21.89089857
StrongLoop,Other,Private,2012,500,8,-,https://www.linkedin.com/company/strongloop-inc-,,strongloop.com,21.88430733
Netwrix,"Software,Consulting",Private,2006,360,51.8,-,https://www.netwrix.com/careers.html,"Irvine, CA",netwrix.com,21.88340753
WibiData,Software,Private,2010,250,5,-,https://wibidata.recruiterbox.com/,"San Francisco, CA",wibidata.com,21.88216032
"XebiaLabs, Inc.",Software,Private,2008,150,100,-,https://www.linkedin.com/company/xebialabs,"Burlington, MA",xebialabs.com,21.88194142
SoGoSurvey,Networking,Private,2013,90,164,-,https://www.sogosurvey.com/career-opportunities/,"Herndon, VA",sogosurvey.com,21.88185665
Gupshup,Software,Private,2004,140,50,-,https://www.gupshupnyc.com/jobs/,"San Francisco, CA",gupshup.io,21.88152375
FastSpring,Other,Private,2005,100,95,-,https://fastspring.com/company/careers/,"Santa Barbara, CA",fastspring.com,21.88148275
"Terracotta, Inc.",Software,Private,2003,100,57,-,https://www.terracottagroup.com/careers/,,terracotta.org,21.88122998
"Lynx Software Technologies, Inc",Software,Private,1988,110,15.1,,https://www.lynx.com/careers,"San Jose, CA",lynx.com,21.88103635
"Nuesoft Technologies, Inc.","Consulting,Pharmaceuticals",Private,1993,60,23,-,https://www.nuemd.com/,"Atlanta, GA",nuemd.com,21.88066349
JanusVR,Other,Private,2015,100,1580,-,https://www.mckinsey.com/careers/students,,janusvr.com,21.8513608
Varonis Systems,Software,Public,2005,1000,217,-,https://info.varonis.com/careers?p=jobs&error=301&nl=1,,varonis.com,21.84995168
